LOCAL_YEAR,trial,year,local,trat,sev,yld
11_2022,13,2022,11,7,0.5,5300.191570881226
11_2022,13,2022,11,7,3,5159.396551724138
11_2022,13,2022,11,8,2,5577.1551724137935
11_2022,13,2022,11,8,2,5578.30779054917
11_2022,13,2022,11,8,4,5083.039591315453
11_2022,13,2022,11,8,1.5,5227.838441890166
11_2022,13,2022,11,9,1,5535.632183908046
11_2022,13,2022,11,9,2,5367.867177522349
11_2022,13,2022,11,9,1,5039.677522349936
11_2022,13,2022,11,9,2,5202.298850574713
11_2022,13,2022,11,10,3,4991.219667943807
11_2022,13,2022,11,10,3.5,5370.651340996168
11_2022,13,2022,11,10,4.5,5367.378671775225
11_2022,13,2022,11,10,1,4763.017241379311
12_2022,14,2022,12,1,25,3506.3492063492063
12_2022,14,2022,12,1,35,3275.604953475644
12_2022,14,2022,12,1,30,3719.943212917351
12_2022,14,2022,12,1,35,4085.861521620143
12_2022,14,2022,12,2,15,3787.586480569239
12_2022,14,2022,12,2,25,3899.3840996168583
12_2022,14,2022,12,2,15,3919.411375661375
